"","V1","V2","V3","V4","V5","V6","V7"
"y2",1.23158840268072,1.24028682951727,1.26552403188872,1.2862422493562,1.30889809942087,1.35117116143803,1.36679737605982
"y3",1.31313385338494,1.3222706523403,1.35158446048664,1.37569748494118,1.40412148871184,1.45540234651319,1.47604216845101
"y5",1.41898288866658,1.42917166066525,1.46469436135745,1.49438587109832,1.53088135854824,1.59814197800225,1.62482805853195
"y10",1.56796749251177,1.58120859326892,1.62716633594689,1.66714567799845,1.71694785843294,1.81633856441568,1.86420755804666
"y20",1.72435200762571,1.74118319073831,1.79979151281108,1.85456555189005,1.92256987660312,2.07871002589439,2.18079021179317
"y30",1.81878117416953,1.83855316830573,1.90766932023303,1.97168769993183,2.05404339063707,2.26543687687638,2.43007177812442
"y50",1.9423039288052,1.96540035499445,2.05040719264643,2.12865266212127,2.23328717345404,2.54606334148242,2.85107688274228
"y80",2.05828701891763,2.08590667348446,2.18794791696651,2.28215289380263,2.41142039189527,2.8727527504304,3.41908444105589
"y100",2.11587411696779,2.14485914426878,2.25556234719363,2.35896242177362,2.50337744403002,3.07483637662222,3.70927439551529
"y150",2.22254889221951,2.25488266484714,2.38395809709676,2.50456664281805,2.67882441948513,3.50018489402433,4.47471892486545
"y200",2.30016835973236,2.33388517504102,2.47857517380385,2.61375466268363,2.81195386332462,3.85878491083301,5.27244363758052
"y250",2.36046095213389,2.39816234025823,2.55458787371504,2.7009806492665,2.91805100394646,4.19569525534899,5.95306483420794
"y300",2.4113898904442,2.45000162677505,2.61700164111684,2.77395650100448,3.00954660786175,4.50756609628363,6.73213837258385
"y350",2.45304914078133,2.49484846306233,2.67173044729512,2.83781239914052,3.08962349393088,4.82576857580717,7.43348195958556
"y400",2.49001899623824,2.53378712728891,2.71984788929967,2.89453519239245,3.16167028819164,5.11553068427045,8.07055626921184
"y450",2.523732553113,2.56974515909298,2.76271097333743,2.94533678125601,3.22652733194985,5.39332627570851,8.74537054939511
"y500",2.55391334036627,2.60157810372657,2.80072994989832,2.99117639162019,3.28599451249106,5.6498041644204,9.37061447365415
"y1000",2.75789177848658,2.81936825760438,3.06855264466824,3.31314648857263,3.71674560803004,8.11616638847686,16.2449918767548
